ip.proto	tcp.flags	udp.srcport	tcp.srcport	data
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
				
				
				
				
				
				
				
				
				
				
				
				
				
				
17		63146		
17		61707		
17		50400		
17		50965		
6	0x00000010		35437	
6	0x00000018		22	
6	0x00000010		35437	
				
				
				
				
				
				
				
				
				
				
6	0x00000010		35437	
6	0x00000010		35437	
6	0x00000010		35437	
				
				
17		68		
6	0x00000010		8080	
6	0x00000004		57352	
6	0x00000010		35437	
				
				
				
				
				
				
				
				
				
				
				
6	0x00000010		8080	
6	0x00000004		57386	
6	0x00000010		8080	
6	0x00000004		57380	
6	0x00000010		8080	
6	0x00000004		57332	
6	0x00000010		8080	
6	0x00000004		57344	
6	0x00000010		8080	
6	0x00000004		57366	
6	0x00000010		8080	
6	0x00000004		57328	
6	0x00000010		8080	
6	0x00000004		57356	
6	0x00000010		8080	
6	0x00000004		57334	
6	0x00000010		8080	
6	0x00000004		57364	
6	0x00000010		8080	
6	0x00000004		57372	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000004		57378	
6	0x00000004		57360	
6	0x00000010		8080	
6	0x00000004		57384	
				
6	0x00000010		8080	
6	0x00000004		57382	
6	0x00000010		35437	
6	0x00000010		8080	
6	0x00000004		57348	
				
				
				
				
				
				
				
				
				
				
				
				
6	0x00000010		8080	
6	0x00000004		57338	
		546		
17		137		
17		137		
				
				
				
				
				
				
				
				
		546		
				
				
				
				
				
				
				
				
				
6	0x00000019		57324	
				
				
6	0x00000010		8080	
				
				
				
				
				
				
				
				
				
				
				
				
				
6	0x00000011		57376	
6	0x00000011		57374	
6	0x00000011		57368	
6	0x00000011		57370	
6	0x00000011		57362	
6	0x00000011		57358	
6	0x00000011		57354	
6	0x00000011		57350	
6	0x00000011		57346	
6	0x00000011		57342	
6	0x00000011		57340	
6	0x00000011		57336	
6	0x00000011		57330	
6	0x00000011		57326	
6	0x00000011		57322	
17		5353		
17		5353		
17		5353		
17		5353		
				
				
				
				
				
				
				
				
				
				
				
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
17		50860		
				
				
				
				
				
				
				
17		68		
17		68		
				
				
				
				
				
				
6	0x00000010		8080	
6	0x00000004		57324	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
				
				
				
				
				
				
6	0x00000010		8080	
6	0x00000004		57368	
6	0x00000010		8080	
6	0x00000004		57326	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000004		57354	
6	0x00000004		57346	
6	0x00000004		57376	
6	0x00000010		8080	
6	0x00000004		57362	
6	0x00000010		8080	
6	0x00000004		57330	
6	0x00000010		8080	
6	0x00000004		57370	
6	0x00000010		8080	
6	0x00000004		57342	
6	0x00000010		8080	
6	0x00000004		57350	
				
				
				
				
				
6	0x00000010		8080	
6	0x00000004		57374	
6	0x00000010		8080	
6	0x00000004		57336	
6	0x00000010		8080	
6	0x00000004		57340	
6	0x00000010		35437	
6	0x00000010		35437	
6	0x00000010		35437	
6	0x00000010		35437	
17		137		
17		137		
				
				
				
				
				
				
6	0x00000011		8080	
6	0x00000010		57322	
17		40415		
				
				
				
				
				
6	0x00000004		53248	
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
17		50860		
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
				
				
		546		
				
				
				
				
				
				
				
				
		546		
				
				
				
				
				
				
				
				
				
				
17		138		
				
				
				
				
				
6	0x00000010		35437	
6	0x00000010		35437	
6	0x00000010		35437	
6	0x00000010		35437	
				
6	0x00000010		35437	
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
6	0x00000010		8080	
6	0x00000004		57358	
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
17		137		
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
17		50860		
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
				
				
				
				
				
				
				
				
				
				
				
6	0x00000010		35437	
6	0x00000010		35437	
6	0x00000010		35437	
6	0x00000010		35437	
6	0x00000018		35437	
6	0x00000010		22	
6	0x00000018		22	
				
				
				
				
				
				
				
				
				
				
17		68		
17		137		
				
				
				
				
				
				
				
				
				
				
				
				
				
6	0x00000010		35437	
				
				
				
				
				
				
				
				
				
				
				
				
				
				
		546		
				
				
				
				
				
				
				
				
				
				
				
				
				
				
17		68		
17		68		
				
				
				
				
17		50860		
				
				
				
				
17		5353		
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
6	0x00000018		22	
				
				
				
				
				
				
				
				
				
				
				
				
